start_time,away_team,away_team_score,home_team,home_team_score
2024-10-22 23:30:00+00:00,NEW YORK KNICKS,109,BOSTON CELTICS,132
2024-10-23 02:00:00+00:00,MINNESOTA TIMBERWOLVES,103,LOS ANGELES LAKERS,110
2024-10-23 23:00:00+00:00,INDIANA PACERS,115,DETROIT PISTONS,109
2024-10-23 23:30:00+00:00,BROOKLYN NETS,116,ATLANTA HAWKS,120
2024-10-23 23:30:00+00:00,ORLANDO MAGIC,116,MIAMI HEAT,97
2024-10-23 23:30:00+00:00,MILWAUKEE BUCKS,124,PHILADELPHIA 76ERS,109
2024-10-23 23:30:00+00:00,CLEVELAND CAVALIERS,136,TORONTO RAPTORS,106
2024-10-24 00:00:00+00:00,CHARLOTTE HORNETS,110,HOUSTON ROCKETS,105
2024-10-24 00:00:00+00:00,CHICAGO BULLS,111,NEW ORLEANS PELICANS,123
2024-10-24 01:00:00+00:00,MEMPHIS GRIZZLIES,126,UTAH JAZZ,124
2024-10-24 02:00:00+00:00,PHOENIX SUNS,116,LOS ANGELES CLIPPERS,113
2024-10-24 02:00:00+00:00,GOLDEN STATE WARRIORS,140,PORTLAND TRAIL BLAZERS,104
2024-10-24 23:00:00+00:00,BOSTON CELTICS,122,WASHINGTON WIZARDS,102
2024-10-24 23:30:00+00:00,SAN ANTONIO SPURS,109,DALLAS MAVERICKS,120
2024-10-25 02:00:00+00:00,MINNESOTA TIMBERWOLVES,117,SACRAMENTO KINGS,115
2024-10-25 02:00:00+00:00,OKLAHOMA CITY THUNDER,102,DENVER NUGGETS,87
2024-10-25 23:00:00+00:00,BROOKLYN NETS,101,ORLANDO MAGIC,116
2024-10-25 23:00:00+00:00,PHILADELPHIA 76ERS,107,TORONTO RAPTORS,115
2024-10-25 23:30:00+00:00,CHARLOTTE HORNETS,120,ATLANTA HAWKS,125
2024-10-25 23:30:00+00:00,DETROIT PISTONS,101,CLEVELAND CAVALIERS,113
2024-10-25 23:30:00+00:00,INDIANA PACERS,98,NEW YORK KNICKS,123
2024-10-26 00:00:00+00:00,MEMPHIS GRIZZLIES,108,HOUSTON ROCKETS,128
2024-10-26 00:00:00+00:00,CHICAGO BULLS,133,MILWAUKEE BUCKS,122
2024-10-26 01:30:00+00:00,GOLDEN STATE WARRIORS,127,UTAH JAZZ,86
2024-10-26 02:00:00+00:00,PHOENIX SUNS,116,LOS ANGELES LAKERS,123
2024-10-26 02:00:00+00:00,NEW ORLEANS PELICANS,105,PORTLAND TRAIL BLAZERS,103
2024-10-26 21:00:00+00:00,LOS ANGELES CLIPPERS,109,DENVER NUGGETS,104
2024-10-26 23:00:00+00:00,CLEVELAND CAVALIERS,135,WASHINGTON WIZARDS,116
2024-10-26 23:00:00+00:00,BOSTON CELTICS,124,DETROIT PISTONS,118
2024-10-26 23:00:00+00:00,MIAMI HEAT,114,CHARLOTTE HORNETS,106
2024-10-27 00:00:00+00:00,ORLANDO MAGIC,111,MEMPHIS GRIZZLIES,124
2024-10-27 00:00:00+00:00,TORONTO RAPTORS,101,MINNESOTA TIMBERWOLVES,112
2024-10-27 00:00:00+00:00,OKLAHOMA CITY THUNDER,114,CHICAGO BULLS,95
2024-10-27 00:30:00+00:00,HOUSTON ROCKETS,106,SAN ANTONIO SPURS,109
2024-10-27 02:00:00+00:00,DALLAS MAVERICKS,102,PHOENIX SUNS,114
2024-10-27 02:30:00+00:00,SACRAMENTO KINGS,127,LOS ANGELES LAKERS,131
2024-10-27 19:30:00+00:00,PHILADELPHIA 76ERS,118,INDIANA PACERS,114
2024-10-27 22:00:00+00:00,NEW ORLEANS PELICANS,103,PORTLAND TRAIL BLAZERS,125
2024-10-27 22:00:00+00:00,MILWAUKEE BUCKS,102,BROOKLYN NETS,115
2024-10-27 23:00:00+00:00,ATLANTA HAWKS,104,OKLAHOMA CITY THUNDER,128
